date,HD
5/14/2019,191.62
5/13/2019,190.34
5/10/2019,194.58
5/9/2019,194.58
5/8/2019,195.17
5/7/2019,194.77
5/6/2019,199.63
5/3/2019,200.56
5/2/2019,201.01
5/1/2019,198.8
4/30/2019,203.7
4/29/2019,202.16
4/26/2019,203.61
4/25/2019,206.5
4/24/2019,206.72
4/23/2019,206.05
4/22/2019,204.78
4/18/2019,205.66
4/17/2019,206.55
4/16/2019,204.47
4/15/2019,204.86
4/12/2019,203.85
4/11/2019,201.48
4/10/2019,199.43
4/9/2019,200.9
4/8/2019,203.55
4/5/2019,202.06
4/4/2019,200.45
4/3/2019,198.61
4/2/2019,194.31
4/1/2019,195.64
3/29/2019,191.89
3/28/2019,190.06
3/27/2019,189.25
3/26/2019,189.34
3/25/2019,189.68
3/22/2019,188.75
3/21/2019,189.97
3/20/2019,186.1
3/19/2019,184.13
3/18/2019,183.42
3/15/2019,182.23
3/14/2019,181.61
3/13/2019,181.14
3/12/2019,184
3/11/2019,182.44
3/8/2019,181.23
3/7/2019,182.51
3/6/2019,184.45
3/5/2019,184
3/4/2019,183.81
3/1/2019,185.17
2/28/2019,185.14
2/27/2019,183.67
2/26/2019,188.3
2/25/2019,189.98
2/22/2019,192.39
2/21/2019,191.82
2/20/2019,191.85
2/19/2019,192.33
2/15/2019,192.39
2/14/2019,187.71
2/13/2019,188.41
2/12/2019,185.52
2/11/2019,182.92
2/8/2019,184.54
2/7/2019,184.07
2/6/2019,184.72
2/5/2019,186.39
2/4/2019,186.43
2/1/2019,184.37
1/31/2019,183.53
1/30/2019,182.18
1/29/2019,179.69
1/28/2019,179.83
1/25/2019,180.4
1/24/2019,177.29
1/23/2019,176.89
1/22/2019,177.11
1/18/2019,179.58
1/17/2019,174.87
1/16/2019,177.04
1/15/2019,176.47
1/14/2019,178.81
1/11/2019,179.41
1/10/2019,179.06
1/9/2019,179.73
1/8/2019,177.89
1/7/2019,177.04
1/4/2019,173.62
1/3/2019,168.61
1/2/2019,172.41
12/31/2018,171.82
12/28/2018,170.22
12/27/2018,170.32
12/26/2018,168.28
12/24/2018,158.14
12/21/2018,160.48
12/20/2018,164.16
12/19/2018,167.56
12/18/2018,170.04
12/17/2018,167.97
12/14/2018,172.29
12/13/2018,173.87
12/12/2018,174.21
12/11/2018,172.21
12/10/2018,171.69
12/7/2018,172.79
12/6/2018,175.96
12/4/2018,175.3
12/3/2018,181.74
11/30/2018,180.32
11/29/2018,175.66
11/28/2018,177.43
11/27/2018,173.22
11/26/2018,169.82
11/23/2018,168.85
11/21/2018,169.3
11/20/2018,169.05
11/19/2018,173.59
11/16/2018,177.02
11/15/2018,177.36
11/14/2018,179.9
11/13/2018,179
11/12/2018,179.43
11/9/2018,185.99
11/8/2018,188
11/7/2018,187.23
11/6/2018,182.01
11/5/2018,182.19
11/2/2018,179.93
11/1/2018,180.46
10/31/2018,175.88
10/30/2018,176.24
10/29/2018,173.2
10/26/2018,172.23
10/25/2018,179.07
10/24/2018,176.97
10/23/2018,178.53
10/22/2018,178.75
10/19/2018,179.85
10/18/2018,180.44
10/17/2018,185.17
10/16/2018,193.58
10/15/2018,191.17
10/12/2018,192.47
10/11/2018,189.74
10/10/2018,193.7
10/9/2018,195.75
10/8/2018,198.41
10/5/2018,196.38
10/4/2018,198.85
10/3/2018,203.74
10/2/2018,204.75
10/1/2018,207.6
9/28/2018,207.15
9/27/2018,206.84
9/26/2018,207.52
9/25/2018,207.46
9/24/2018,207.99
9/21/2018,212.39
9/20/2018,211.06
9/19/2018,211.68
9/18/2018,211.02
9/17/2018,208.4
9/14/2018,209.07
9/13/2018,209.45
9/12/2018,211.98
